Total time	  0.159000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.148000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.147000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.147000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.147000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.270000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.146000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.147000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.147000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.146000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.168000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.155000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.148000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.153000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.153000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.153000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.154000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.152000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.150000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.151000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.153000	R_GAIN	  424	 B_GAIN	  426	
 Total time	  0.149000	R_GAIN	  424	 B_GAIN	  426	
 
